Employee ID,Employee Name,Team,Process,Shift,Joining Date,Skill Level,Performance Band,Standard Working Hours,Active
EMP001,Employee 001,Team A,Document Verification,General,2025-01-22,Intermediate,Average,8,Yes
EMP002,Employee 002,Team A,Document Verification,General,2024-08-29,Advanced,Average,8,Yes
EMP003,Employee 003,Team A,Document Verification,General,2025-07-18,Intermediate,Average,8,Yes
EMP004,Employee 004,Team A,Document Verification,Night,2025-01-01,Intermediate,Average,8,Yes
EMP005,Employee 005,Team A,Document Verification,Night,2025-05-23,Advanced,High,8,Yes
EMP006,Employee 006,Team A,Document Verification,Afternoon,2024-07-24,Advanced,Average,8,Yes
EMP007,Employee 007,Team A,Document Verification,General,2025-01-22,Beginner,Low,8,Yes
EMP008,Employee 008,Team A,Document Verification,General,2025-07-19,Intermediate,Average,8,Yes
EMP009,Employee 009,Team A,Document Verification,General,2025-04-21,Beginner,Low,8,Yes
EMP010,Employee 010,Team A,Document Verification,General,2025-07-09,Advanced,High,8,Yes
EMP011,Employee 011,Team B,Data Entry,General,2024-09-26,Advanced,Average,8,Yes
EMP012,Employee 012,Team B,Data Entry,Afternoon,2025-03-31,Advanced,High,8,Yes
EMP013,Employee 013,Team B,Data Entry,Night,2024-10-22,Intermediate,Average,8,Yes
EMP014,Employee 014,Team B,Data Entry,Morning,2024-12-03,Advanced,Average,8,Yes
EMP015,Employee 015,Team B,Data Entry,Night,2024-08-04,Beginner,Low,8,Yes
EMP016,Employee 016,Team B,Data Entry,Night,2025-05-07,Intermediate,High,8,Yes
EMP017,Employee 017,Team B,Data Entry,Afternoon,2024-03-05,Beginner,Average,8,Yes
EMP018,Employee 018,Team B,Data Entry,Morning,2024-12-09,Beginner,Average,8,Yes
EMP019,Employee 019,Team B,Data Entry,Night,2025-04-16,Advanced,High,8,Yes
EMP020,Employee 020,Team B,Data Entry,Afternoon,2025-08-15,Beginner,Low,8,Yes
EMP021,Employee 021,Team C,Application Processing,Afternoon,2024-10-15,Advanced,High,8,Yes
EMP022,Employee 022,Team C,Application Processing,General,2024-08-18,Intermediate,Average,8,Yes
EMP023,Employee 023,Team C,Application Processing,Night,2024-05-14,Advanced,High,8,Yes
EMP024,Employee 024,Team C,Application Processing,Night,2024-02-02,Advanced,Average,8,Yes
EMP025,Employee 025,Team C,Application Processing,Afternoon,2025-07-27,Beginner,Average,8,Yes
EMP026,Employee 026,Team C,Application Processing,Afternoon,2025-11-14,Advanced,High,8,Yes
EMP027,Employee 027,Team C,Application Processing,Afternoon,2025-06-30,Intermediate,Average,8,Yes
EMP028,Employee 028,Team C,Application Processing,Morning,2025-04-06,Beginner,Low,8,Yes
EMP029,Employee 029,Team C,Application Processing,Morning,2024-08-05,Advanced,High,8,Yes
EMP030,Employee 030,Team C,Application Processing,General,2025-01-27,Beginner,Low,8,Yes
EMP031,Employee 031,Team D,Quality Review,General,2025-07-07,Intermediate,Average,8,Yes
EMP032,Employee 032,Team D,Quality Review,Afternoon,2025-07-28,Beginner,Low,8,Yes
EMP033,Employee 033,Team D,Quality Review,Morning,2025-07-17,Advanced,Average,8,Yes
EMP034,Employee 034,Team D,Quality Review,Night,2025-04-29,Intermediate,Average,8,Yes
EMP035,Employee 035,Team D,Quality Review,Morning,2025-10-16,Intermediate,Average,8,Yes
EMP036,Employee 036,Team D,Quality Review,Night,2025-06-08,Intermediate,Average,8,Yes
EMP037,Employee 037,Team D,Quality Review,Afternoon,2024-08-30,Intermediate,High,8,Yes
EMP038,Employee 038,Team D,Quality Review,General,2025-11-12,Beginner,Average,8,Yes
EMP039,Employee 039,Team D,Quality Review,Morning,2025-10-07,Advanced,Average,8,Yes
EMP040,Employee 040,Team D,Quality Review,Night,2025-07-09,Beginner,Low,8,Yes
